"name","value"
"ar.1",-0.110808742610777
"ne.1",-3.94219859716482
"end.sin(2 * pi * t/52)",-0.841065727720207
"end.cos(2 * pi * t/52)",-0.382971033933721
"end.1.X0",3.26607784414616
"end.1.X1",2.27319709156937
"end.1.X2",3.64168191379464
"end.1.X3",0.310599175636326
"end.1.X4",0.324511941419672
"end.1.X5",-0.460417761921309
"end.1.X6",2.17813062094151
"end.1.X7",0.243163135369991
"end.1.X8",1.27802670818502
"end.1.X9",1.84324469741586
"end.1.X10",1.81073867753289
"end.1.X11",-0.719364619150653
"end.1.X12",1.04766579045396
"end.1.X13",5.39657675742917
"end.1.X14",5.53739966020069
"end.1.X15",-0.947402911602892
"end.1.X16",-16.5493437744797
"end.1.X17",0.343888081236008
"end.1.X18",2.9871557946104
"end.1.X19",2.90913685612746
"end.1.X20",4.85740049003546
"end.1.X21",0.635827830816238
"end.1.X22",0.166387471935575
"end.1.X23",-16.2199825857064
"end.1.X24",1.83324068802592
"end.1.X25",1.11888734492462
"end.1.X26",1.27595288806756
"end.1.X27",1.06419042446161
"end.1.X28",2.4252181637506
"end.1.X29",0.474846019396286
"end.1.X30",5.04694776287731
"end.1.X31",1.32744867194706
"end.1.X32",1.67007656172042
"end.1.X33",0.873500469022543
"end.1.X34",1.20057103964313
"end.1.X35",-0.277838570946171
"end.1.X36",1.50894498371516
"end.1.X37",1.62991412742656
"end.1.X38",0.0614726147960435
"end.1.X39",1.05156434664459
"end.1.X40",0.0629069327357847
"end.1.X41",1.07052022732787
"end.1.X42",5.4370884838916
"end.1.X43",-0.177011363416994
"end.1.X44",0.996227477908476
"end.1.X45",3.30962694756212
"end.1.X46",1.31029179933839
"end.1.X47",1.09719210980652
"end.1.X48",-0.42092847328707
"end.1.X49",3.0110793920004
"end.1.X50",-0.393916543928201
"end.1.X51",0.784484802922744
"end.1.X52",0.131062088982003
"end.1.X53",1.40742695252697
"end.1.X54",-16.3764606311367
"end.1.X55",1.89835372853228
"end.1.X56",5.46550002795399
"end.1.X57",1.99277293525448
"end.1.X58",2.53655052956713
"end.1.X59",2.29979603369432
"end.1.X60",-0.00076195836840506
"end.1.X61",4.99466785043243
"end.1.X62",0.244327797896884
"end.1.X63",1.17851909788329
"end.1.X64",1.27994328978584
"end.1.X65",1.51322767732103
"end.1.X66",0.733998065673748
"end.1.X67",4.52261415431737
"end.1.X68",-0.507285291448961
"end.1.X69",4.31936359144924
"end.1.X70",2.78766849974432
"end.1.X71",1.14905775723791
"end.1.X72",1.07658432896497
"end.1.X73",1.74956981174102
"end.1.X74",0.881061402155543
"end.1.X75",-1.04263734591434
"end.1.X76",1.76598709363826
"end.1.X77",-0.777395016714805
"end.1.X78",4.31530951318179
"end.1.X79",0.931158752372823
"end.1.X80",1.47994842868319
"end.1.X81",2.19823181271989
"end.1.X82",1.1150840114898
"end.1.X83",3.65122035219669
"end.1.X84",1.69741510848566
"end.1.X85",2.31541197867185
"end.1.X86",-1.45946793565011
"end.1.X87",0.991996226293595
"end.1.X88",2.18299126936834
"end.1.X89",2.58474152153439
"end.1.X90",3.2686185206724
"end.1.X91",2.97865671458795
"end.1.X92",1.11416917461322
"end.1.X93",2.99995581735148
"end.1.X94",2.48498506390821
"end.1.X95",0.531605187776511
"end.1.X96",0.987188981190335
"end.1.X97",1.64412643833875
"end.1.X98",-0.0853862173323455
"end.1.X99",2.12978952550747
"end.1.X100",6.1914660595286
"end.1.X101",2.37648119231482
"end.1.X102",0.9065989092124
"end.1.X103",0.224204491770396
"end.1.X104",4.2250594573194
"end.1.X105",0.342850895662513
"end.1.X106",2.1467056459713
"end.1.X107",3.07708394986186
"end.1.X108",1.63228921071261
"end.1.X109",2.0030211131833
"end.1.X110",1.06236032901246
"end.1.X111",1.61546271778365
"end.1.X112",1.84242013164769
"end.1.X113",1.75770307578038
"end.1.X114",-14.677609557505
"end.1.X115",3.86808334678875
"end.1.X116",3.08613964145577
"end.1.X117",-1.52577208381016
"end.1.X118",-0.566498417332843
"end.1.X119",1.94132110004449
"end.1.X120",1.32301006632837
"end.1.X121",-16.7481259626516
"end.1.X122",4.00711309934657
"end.1.X123",-16.2215885693287
"end.1.X124",0.589802576996564
"end.1.X125",2.20266131485277
"end.1.X126",3.43101694443509
"end.1.X127",1.9119390708616
"end.1.X128",0.131421980590007
"end.1.X129",2.10639111824508
"end.1.X130",-17.0440886878385
"end.1.X131",-1.21784303000626
"end.1.X132",2.58286635323007
"end.1.X133",0.131822703952675
"end.1.X134",-1.64787475095763
"end.1.X135",-0.223623979572897
"end.1.X136",1.57105978372835
"end.1.X137",-0.0662801180638194
"end.1.X138",1.70831471297353
"end.1.X139",3.10343682357951
"end.1.X140",1.95291058531656
"end.1.X141",0.999556965172472
"end.1.X142",2.19544420210384
"end.1.X143",-0.723285714663682
"end.1.X144",0.806279475963092
"end.1.X145",-0.3635140048098
"end.1.X146",1.65771179968339
"end.1.X147",0.853289966539477
"end.1.X148",0.810724688424745
"end.1.X149",0.4252383795809
"end.1.X150",-17.1685265713667
"end.1.X151",3.52260911199247
"end.1.X152",-0.220065374082037
"end.1.X153",1.23147999463932
"end.1.X154",-0.236726849535452
"end.1.X155",-0.0212216203511687
"end.1.X156",0.374718385332711
"end.1.X157",1.08178510652472
"end.1.X158",4.10735590152035
"end.1.X159",0.534760082385677
"end.1.X160",3.94431733426022
"end.1.X161",-2.91888629199475
"end.1.X162",1.16010145349345
"end.1.X163",-0.0732123655819909
"end.1.X164",3.40706053836073
"end.1.X165",1.37734249781915
"end.1.X166",-0.281548287101111
"end.1.X167",0.617385217781278
"end.1.X168",-0.177709351911211
"end.1.X169",3.51870262358949
"end.1.X170",3.32898160056873
"end.1.X171",0.964821263776426
"end.1.X172",-0.390116305364946
"end.1.X173",2.92430939932507
"end.1.X174",3.16555208182257
"end.1.X175",0.552789984708784
"end.1.X176",0.73041945305119
"end.1.X177",3.32725237446402
"end.1.X178",1.41847956144906
"end.1.X179",-0.363352118677332
"end.1.X180",3.28835400157134
"end.1.X181",0.894810055968446
"end.1.X182",1.77010055792318
"end.1.X183",0.919296161870969
"end.1.X184",1.5856118261769
"end.1.X185",1.52775805700496
"end.1.X186",2.86286890346476
"end.1.X187",3.12584536778868
"end.1.X188",0.864317663071394
"end.1.X189",-2.5948930233364
"end.1.X190",3.47366788144829
"end.1.X191",0.107239983799558
"end.1.X192",-0.281397851962691
"end.1.X193",0.967705455837797
"end.1.X194",-0.315533705175532
"end.1.X195",-0.863969022036634
"end.1.X196",-0.863727147994937
"end.1.X197",0.877493263652572
"end.1.X198",0.611776934027418
"end.1.X199",0.407195205149142
"end.1.X200",2.79271107145957
"end.1.X201",-0.659109035379584
"end.1.X202",0.782398859332021
"end.1.X203",0.0365409917629811
"end.1.X204",3.48950188934441
"end.1.X205",0.0501057472770106
"end.1.X206",-0.815370903796311
"end.1.X207",1.94792098254068
"end.1.X208",-0.551020844764317
"end.1.X209",2.00001623356153
"end.1.X210",1.1023849734043
"end.1.X211",3.15524070890714
"end.1.X212",-0.827799684681239
"end.1.X213",0.535227859405337
"end.1.X214",0.62290416481911
"end.1.X215",-1.89992823517848
"end.1.X216",-0.635316841449148
"end.1.X217",-0.467107160135853
"end.1.X218",0.777370279699651
"end.1.X219",4.45653725517553
"end.1.X220",2.66961181540149
"end.1.X221",-3.11425756451934
"end.1.X222",0.127743657786547
"end.1.X223",-1.71855322260408
"end.1.X224",2.29604909618982
"end.1.X225",1.61706042635706
"end.1.X226",5.63389081724222
"end.1.X227",1.25546493986186
"end.1.X228",1.83159852696615
"end.1.X229",1.59811896476994
"end.1.X230",-2.99550709499635
"end.1.X231",0.539905027018325
"end.1.X232",2.94699072157672
"end.1.X233",1.42838437528028
"end.1.X234",3.40855236093216
"end.1.X235",3.0355594462592
"end.1.X236",-13.0230050653659
"end.1.X237",0.176652110631981
"end.1.X238",2.23439578894456
"end.1.X239",5.80052218937213
"end.1.X240",1.45643529662834
"end.1.X241",0.639162579770826
"end.1.X242",3.52836544419966
"end.1.X243",0.34993886623337
"end.1.X244",1.04467387350087
"end.1.X245",5.25917822475412
"end.1.X246",2.53180847518903
"end.1.X247",0.16925613049298
"end.1.X248",-12.7367856086148
"end.1.X249",1.8090122233696
"end.1.X250",0.134720994781273
"end.1.X251",0.492600116601155
"end.1.X252",-0.289796513743887
"end.1.X253",0.961004452373666
"overdisp",0.787038388175014
"loglik",-71135.9529084487
